history_date,primary_index,sub_index,price_change,total_value,price_change_weighted
9/1/04,Consumer Price Index,Tech II modules,0.953312,1.76556E+11,-0.003734
9/1/04,Consumer Price Index,Tech II ships,1.110874,79385802116,0.003987
9/1/04,Mineral Price Index,High-End Minerals,0.951882,4.58363E+11,-0.030299
9/1/04,Mineral Price Index,Low-End Minerals,1.007375,2.6956E+11,0.002731
9/1/04,Primary Producer Price Index,Commodity,1.019586,2014092647,0.000805
9/1/04,Primary Producer Price Index,Ore,1.010736,43050516701,0.009437
9/1/04,Primary Producer Price Index,Planetary Processed Materials,1.006158,1329859904,0.000167
9/1/04,Primary Producer Price Index,Planetary Refined Commodities,0.958905,1656984248,-0.00139
9/1/04,Primary Producer Price Index,Planetary Specialized Commodities,1.041085,923347207.4,0.000774
9/1/04,Secondary Producer Price Index,Blueprints,0.999335,1.62703E+11,-0.000304
9/1/04,Secondary Producer Price Index,Commodity,0.994967,1.4282E+11,-0.00202
9/1/04,Secondary Producer Price Index,Planetary Commodities,0.916978,806591826.1,-0.000188
9/1/04,Secondary Producer Price Index,Planetary Refined Commodities,1.085233,4903517414,0.001174
9/1/04,Secondary Producer Price Index,Planetary Specialized Commodities,1.038244,1003708296,0.000107
9/1/04,Secondary Producer Price Index,Tech II construction components,1.136043,43462290848,0.016622
10/1/04,Consumer Price Index,Ammo,0.908788,61676731624,-0.002039
10/1/04,Consumer Price Index,Boosters,1.004693,7561406.246,0
10/1/04,Consumer Price Index,Commodity,0.964656,3.90576E+11,-0.005004
10/1/04,Consumer Price Index,Drones,0.930882,15551496728,-0.000389
10/1/04,Consumer Price Index,Implants,0.832251,2.2991E+11,-0.013981
10/1/04,Consumer Price Index,Skills,1.009443,2.94767E+11,0.001009
10/1/04,Consumer Price Index,Starbase structures,0.968569,21441522049,-0.000244
10/1/04,Consumer Price Index,Tech I modules,0.915816,1.71376E+11,-0.00523
10/1/04,Consumer Price Index,Tech I ships,0.944973,1.23468E+12,-0.024629
10/1/04,Consumer Price Index,Tech II modules,0.891162,2.34825E+11,-0.009265
10/1/04,Consumer Price Index,Tech II ships,0.8974,1.03708E+11,-0.003857
10/1/04,Mineral Price Index,High-End Minerals,0.897115,4.50971E+11,-0.065582
10/1/04,Mineral Price Index,Low-End Minerals,0.97026,2.56502E+11,-0.010782
10/1/04,Primary Producer Price Index,Commodity,1.133006,3734476640,0.009667
10/1/04,Primary Producer Price Index,Ore,0.979436,41679022304,-0.016681
10/1/04,Primary Producer Price Index,Planetary Processed Materials,0.995803,1639509834,-0.000133
10/1/04,Primary Producer Price Index,Planetary Refined Commodities,1.134591,3293507501,0.008627
10/1/04,Primary Producer Price Index,Planetary Specialized Commodities,1.054501,1032702906,0.001095
10/1/04,Secondary Producer Price Index,Blueprints,1.0048,1.28474E+11,0.001792
10/1/04,Secondary Producer Price Index,Commodity,0.997643,1.43703E+11,-0.000984
10/1/04,Secondary Producer Price Index,Planetary Commodities,0.923616,663386302,-0.000147
10/1/04,Secondary Producer Price Index,Planetary Refined Commodities,0.839531,4788969646,-0.002233
10/1/04,Secondary Producer Price Index,Planetary Specialized Commodities,1.041929,1488915026,0.000181
10/1/04,Secondary Producer Price Index,Tech II construction components,0.948321,64947129896,-0.009755
11/1/04,Consumer Price Index,Ammo,0.802556,60455196963,-0.004224
11/1/04,Consumer Price Index,Boosters,0.908115,2891211.77,0
11/1/04,Consumer Price Index,Commodity,0.977768,3.6718E+11,-0.002889
11/1/04,Consumer Price Index,Drones,1.069551,17673984182,0.000435
11/1/04,Consumer Price Index,Implants,0.889988,2.29772E+11,-0.008946
11/1/04,Consumer Price Index,Skills,0.988094,2.73863E+11,-0.001153
11/1/04,Consumer Price Index,Starbase structures,1.033529,23377704925,0.000277
11/1/04,Consumer Price Index,Tech I modules,1.037977,1.92421E+11,0.002586
11/1/04,Consumer Price Index,Tech I ships,0.965509,1.28781E+12,-0.015719
11/1/04,Consumer Price Index,Tech II modules,0.880123,2.49473E+11,-0.010584
11/1/04,Consumer Price Index,Tech II ships,0.860179,1.23553E+11,-0.006113
11/1/04,Mineral Price Index,High-End Minerals,0.984321,4.95185E+11,-0.010006
11/1/04,Mineral Price Index,Low-End Minerals,0.981121,2.80715E+11,-0.00683
11/1/04,Primary Producer Price Index,Commodity,0.919034,4796196668,-0.007236
11/1/04,Primary Producer Price Index,Ore,0.962645,43414365206,-0.030221
11/1/04,Primary Producer Price Index,Planetary Processed Materials,1.039514,1350503459,0.000994
11/1/04,Primary Producer Price Index,Planetary Refined Commodities,1.087378,2539260363,0.004134
11/1/04,Primary Producer Price Index,Planetary Specialized Commodities,1.125138,1562057876,0.003642
11/1/04,Secondary Producer Price Index,Blueprints,0.95983,79452938019,-0.011868
11/1/04,Secondary Producer Price Index,Commodity,1.01721,1.10463E+11,0.007069
11/1/04,Secondary Producer Price Index,Planetary Commodities,1.35143,984416018.6,0.001286
11/1/04,Secondary Producer Price Index,Planetary Refined Commodities,0.551745,3076802960,-0.005128
11/1/04,Secondary Producer Price Index,Planetary Specialized Commodities,1.047983,2852831655,0.000509
11/1/04,Secondary Producer Price Index,Tech II construction components,0.833938,72078958779,-0.044511
12/1/04,Consumer Price Index,Ammo,0.630065,56501675853,-0.005939
12/1/04,Consumer Price Index,Boosters,0.996131,5040047.645,0
12/1/04,Consumer Price Index,Commodity,0.915929,2.00941E+11,-0.0048
12/1/04,Consumer Price Index,Drones,1.142262,19622586349,0.000793
12/1/04,Consumer Price Index,Ice Products,0.271617,1789986197,-0.00037
12/1/04,Consumer Price Index,Implants,2.094438,4.30574E+11,0.133897
12/1/04,Consumer Price Index,Insignias,0.654478,14172930.69,-1.00E-06
12/1/04,Consumer Price Index,Skills,0.966052,3.4761E+11,-0.003353
12/1/04,Consumer Price Index,Starbase structures,0.959714,1.13672E+11,-0.001301
12/1/04,Consumer Price Index,Tech I modules,1.070738,2.98792E+11,0.006005
12/1/04,Consumer Price Index,Tech I ships,1.024667,1.62012E+12,0.011355
12/1/04,Consumer Price Index,Tech II modules,0.985377,3.00439E+11,-0.001248
12/1/04,Consumer Price Index,Tech II ships,0.889748,1.29298E+11,-0.00405
12/1/04,Mineral Price Index,High-End Minerals,1.084665,5.333E+11,0.054782
12/1/04,Mineral Price Index,Low-End Minerals,1.072379,2.90895E+11,0.025545
